id,name,pop,gdp,gdppc
AFG,Afghanistan,34940.837,67.594970922535,1934.555
AGO,Angola,22637.95864,175.929578041567,7771.4418
ALB,Albania,3062.734429,34.0091130448984,11104.1665
ARE,United Arab Emirates,9619.465681,734.906189316231,76397.8181
ARG,Argentina,44694.76893,829.373254831057,18556.3831
ARM,Armenia,2906.869202,33.2965155498058,11454.4251
AUS,Australia,24855.30367,1238.55964872032,49830.7993
AUT,Austria,8892.454031,382.269444359619,42988.0709
AZE,Azerbaijan,9647.924472,160.426221650639,16628.0553
BDI,Burundi,11229,7.3141090881,651.3589
BEL,Belgium,11429.26836,454.384314204564,39756.2031
BEN,Benin,12017.978,26.6820335349148,2220.1766
BFA,Burkina Faso,19699.64035,31.3150250316565,1589.6242
BGD,Bangladesh,167474.8422,686.521749312877,4099.253
BGR,Bulgaria,7166.644156,132.183449574073,18444.2602
BHR,Bahrain,1583.829316,62.5593054372192,39498.7672
BIH,Bosnia and Herzegovina,3946.870989,41.2863233125414,10460.5201
BLR,Belarus,9528.073531,178.43525913119,18727.3176
BOL,Bolivia (Plurinational State of),11306.341,75.7047108867386,6695.7746
BRA,Brazil,211307.77,2965.40145208471,14033.5656
BRB,Barbados,293.131,3.5161611018708,11995.1868
BWA,Botswana,2262.596073,35.8443413522151,15842.1301
CAF,Central African Republic,5745.062,3.5819823868118,623.4889
CAN,Canada,37206.33528,1669.40151425332,44868.7435
CHE,Switzerland,8667.875051,531.971156045547,61372.7301
CHL,Chile,18676.22752,412.833627886624,22104.7654
CHN,China,1385439.414,18151.6204372161,13101.7064
CIV,Côte d'Ivoire,27622.91532,102.58166269146,3713.6436
CMR,Cameroon,26373.62691,76.1682450655552,2888.0459
COD,D.R. of the Congo,95238.6834,81.8463816460538,859.3817
COG,Congo,5164.601891,29.5135911001129,5714.5917
COL,Colombia,48128.32639,651.900563304706,13545.0495
COM,Comoros,821.164,1.4160321175784,1724.4206
CPV,Cabo Verde,568.373,3.882678731568,6831.216
CRI,Costa Rica,4993.580327,73.336988552367,14686.2539
CSK,Czechoslovakia,16014.58375,474.041258923999,29600.5982
CUB,Cuba,11116.396,92.5510144807948,8325.6313
CYP,Cyprus,1022.282576,27.7901554289052,27184.4166
CZE,Czech Republic,10605.40276,326.100315851243,30748.5084
DEU,Germany,84152.4834,3885.96129110328,46177.6187
DJI,Djibouti,884.017,2.9134384725855,3295.6815
DMA,Dominica,74.027,0.6678104254899,9021.1737
DNK,Denmark,5793.652404,268.317624888571,46312.3443
DOM,Dominican Republic,10385.30608,165.255139274739,15912.3995
DZA,Algeria,41489.77454,590.317549399483,14228.025
ECU,Ecuador,16498.502,175.52467719,10638.8251
EGY,Egypt,102183.736,1221.83261474078,11957.2122
ESP,Spain,47379.84293,1492.3001704416,31496.52
EST,Estonia,1291.906205,35.4094242550757,27408.6649
ETH,Ethiopia,106467.9687,195.740327715654,1838.4903
FIN,Finland,5515.525053,214.535726086788,38896.7005
FRA,France,67028.7493,2581.67389881873,38515.9193
GAB,Gabon,2083.239905,36.6932635614481,17613.5564
GBR,United Kingdom,66745.60905,2540.21010264903,38058.0856
GEO,Georgia,4921.590982,58.9847998759676,11984.9049
GHA,Ghana,27858.45603,118.873890039027,4267.0667
GIN,Guinea,11855.411,19.0453218007726,1606.4666
GMB,Gambia,2092.731,3.9390217881669,1882.2399
GNB,Guinea-Bissau,1833.247,2.7524619779592,1501.4136
GNQ,Equatorial Guinea,797.457,22.750613272521,28528.953
GRC,Greece,10662.1611,250.03584287797,23450.7658
GTM,Guatemala,17231.5597,127.549979636142,7402.1146
HKG,"China, Hong Kong SAR",7350.260845,373.682640985833,50839.3714
HND,Honduras,9001.592,45.3827448835568,5041.6354
HRV,Croatia,3860.506699,84.9786883598462,22012.3147
HTI,Haiti,10788.44,18.653678820608,1729.0432
HUN,Hungary,9773.575216,250.4264832595,25622.8123
IDN,Indonesia,259494.1174,3075.45608437075,11851.7372
IND,India,1298135.534,8835.75769478125,6806.4986
IRL,Ireland,4859.318942,314.321653958648,64684.302
IRN,Iran (Islamic Republic of),82239.19729,1398.99600226401,17011.3042
IRQ,Iraq,40012.47841,513.592674532306,12835.8126
ISL,Iceland,352.5730864,15.3152605395976,43438.5412
ISR,Israel,8460.269367,278.806231973558,32954.7701
ITA,Italy,60446.9496,2077.20914323132,34364.1682
JAM,Jamaica,2671.788021,19.4318621768666,7272.9805
JOR,Jordan,9116.210944,104.894207135826,11506.3383
JPN,Japan,125847.7174,4867.01047255063,38673.8081
KAZ,Kazakhstan,18323.40361,463.720551976635,25307.5554
KEN,Kenya,51371.55254,173.505898105895,3377.4704
KGZ,Kyrgyzstan,5717.831766,29.6011481539503,5176.9883
KHM,Cambodia,16409.21841,59.5418516039299,3628.5611
KOR,Republic of Korea,51635,1958.3921165325,37927.6095
KWT,Kuwait,4229.457223,277.117153092096,65520.7367
LAO,Lao People's DR,7234.171,46.6669614494286,6450.9066
LBN,Lebanon,7707.656046,96.8001971582989,12558.9669
